Unit Size,Unit Name,Unit Type,Experience Level,Equipment,Command Structure,Logistics,Estimated Enemy Size,Enemy Unit Type Composition,Known Enemy Capabilities,Morale,Leadership,Mission Objective,Terrain Type,Weather Conditions,Time of Day,Civilian Presence,Supporting Arms,Enemy Movement,Rules of Engagement,Action Taken
4,Squad,Armored,Elite,Medical Supplies,Centralized (Flexible),Well-Supplied,106,Irregular Militia,Sniper Teams,Fanatical,Weak,Secure Objective,Urban,Fog,Dawn,Low,Yes (Artillery & Close Air Support),Encirclement,Return Fire Only,4
623,Battalion,Engineers,Elite,Riot Gear,Decentralized,Minimal,193,Mechanized Infantry,Improvised Explosive Devices (IEDs),Fanatical,Charismatic Leader,Reconnaissance,Jungle,Sandstorm,Dawn,Low,No,Aggressive Push,Non-Lethal Force Only,4
123,Fire Team,Infantry,Elite,Riot Gear,Decentralized (Limited Communication),Well-Supplied,369,Guerrilla,Standard Equipment,Medium,Tactical Genius,Cyber Defense,Rural,Light Rain,Dusk,Medium,Yes (Artillery),Guerrilla Tactics,Observe and Report,4
36,Battalion,Special Forces,Rookie,Riot Gear,Centralized (Strict Hierarchy),Overstocked,254,Special Forces,Advanced Communication,Low,Strong,Peacekeeping,Island,Extreme Cold,Dawn,Medium,No,Encirclement,Return Fire Only,2
35,Battalion,Combat Medic Team,Rookie,Riot Gear,Centralized (Flexible),Basic,58,Special Forces,Sniper Teams,Low,Charismatic Leader,Infrastructure Protection,Desert,Extreme Cold,Day,Medium,No,Infiltration,Non-Lethal Force Only,5
22,Squad,Military Police,Elite,Basic (Limited Ammo),Centralized (Flexible),Overstocked,376,Armored,Sniper Teams,Medium,Tactical Genius,Infrastructure Protection,Arctic,Snow,Day,High,Yes (Artillery),Encirclement,Weapons Free,6
13,Platoon,Engineers,Elite,Standard Issue,Decentralized (Limited Communication),Overstocked,288,Special Forces,Sniper Teams,High,Tactical Genius,Counter-insurgency,Urban,Snow,Dawn,Medium,Yes (Air Support),Encirclement,Weapons Free,2
6,Platoon,Military Police,Elite,Riot Gear,Centralized (Flexible),Well-Supplied,456,Drone Operators,Standard Equipment,High,Competent,Eliminate Enemy Force,Suburban,Snow,Dusk,Medium,Yes (Naval Gunfire),Infiltration,Non-Lethal Force Only,7
13,Platoon,Special Forces,Elite,Basic (Limited Ammo),Centralized (Flexible),Basic,171,Mechanized Infantry,Advanced Communication,High,Incompetent,Secure Objective,Jungle,Heavy Rain,Day,None,Yes (Artillery),Encirclement,Non-Lethal Force Only,7
367,Company,Engineers,Rookie,Medical Supplies,Decentralized (Limited Communication),Overstocked,358,Mechanized Infantry,Sniper Teams,High,Weak,Eliminate Enemy Force,Island,Fog,Night,Medium,No,Encirclement,Weapons Free,6
96,Squad,Mechanized,Rookie,Standard Issue,Centralized (Strict Hierarchy),Basic,77,Light Infantry,Sniper Teams,Low,Charismatic Leader,Eliminate Enemy Force,Rural,Fog,Dawn,Low,No,Aggressive Push,Non-Lethal Force Only,2
4,Fire Team,Engineers,Mixed,Standard Issue,Centralized (Flexible),Adequate,485,Cyber Warfare,Improvised Explosive Devices (IEDs),High,Tactical Genius,Cyber Defense,Island,Snow,Day,High,Yes (Artillery & Close Air Support),Patrolling,Return Fire Only,2
11,Battalion,Infantry,Elite,Advanced Weaponry,Centralized (Strict Hierarchy),Basic,34,Cyber Warfare,Sniper Teams,Low,Charismatic Leader,Cyber Defense,Rural,Extreme Heat,Night,Low,No,Aggressive Push,Protect Civilians at All Costs,2
681,Squad,Special Forces,Rookie,Basic (Limited Ammo),Decentralized (Limited Communication),Minimal,10,Cyber Warfare,Advanced Communication,Medium,Strong,Infrastructure Protection,Urban,Snow,Day,None,Yes (Naval Gunfire),Encirclement,Protect Civilians at All Costs,9
805,Company,Military Police,Rookie,Medical Supplies,Centralized (Flexible),Basic,185,Drone Operators,Standard Equipment,High,Tactical Genius,Infrastructure Protection,Urban,Thunderstorm,Dusk,Low,Yes (Air Support),Guerrilla Tactics,Return Fire Only,5
543,Battalion,Combat Medic Team,Elite,Medical Supplies,Centralized (Strict Hierarchy),Adequate,44,Irregular Militia,Sniper Teams,Low,Weak,Infrastructure Protection,Rural,Heavy Rain,Night,None,Yes (Artillery),Static Defense,Observe and Report,6
26,Platoon,Mechanized,Rookie,Medical Supplies,Decentralized,Basic,102,Special Forces,Sniper Teams,High,Incompetent,Cyber Defense,Coastal,Extreme Heat,Dawn,High,Yes (Air & Artillery),Aggressive Push,Minimize Collateral Damage,3
11,Fire Team,Engineers,Rookie,Medical Supplies,Decentralized,Overstocked,288,Drone Operators,Improvised Explosive Devices (IEDs),Medium,Charismatic Leader,Reconnaissance,Jungle,Blizzard,Night,Low,Yes (Air & Artillery),Encirclement,Non-Lethal Force Only,3
181,Fire Team,Military Police,Rookie,Medical Supplies,Centralized (Flexible),Minimal,142,Special Forces,Improvised Explosive Devices (IEDs),Fanatical,Tactical Genius,Secure Objective,Forest,Sandstorm,Dusk,None,No,Patrolling,Protect Civilians at All Costs,3
82,Company,Mechanized,Elite,Medical Supplies,Centralized (Flexible),Well-Supplied,37,Irregular Militia,Advanced Communication,High,Competent,Reconnaissance,Desert,Extreme Cold,Day,High,Yes (Air & Artillery),Static Defense,Minimize Collateral Damage,4
84,Company,Armored,Elite,Riot Gear,Decentralized (Limited Communication),Overstocked,344,Guerrilla,Improvised Explosive Devices (IEDs),Low,Weak,Secure Objective,Island,Light Rain,Dusk,None,Yes (Air & Artillery),Infiltration,Observe and Report,1
12,Platoon,Mechanized,Rookie,Specialized Gear,Centralized (Strict Hierarchy),Adequate,154,Drone Operators,Standard Equipment,Low,Competent,Counter-insurgency,Desert,Heavy Rain,Day,Low,Yes (Artillery),Guerrilla Tactics,Minimize Collateral Damage,8
214,Platoon,Infantry,Elite,Riot Gear,Centralized (Flexible),Overstocked,131,Special Forces,Standard Equipment,Medium,Tactical Genius,Infrastructure Protection,Rural,Extreme Cold,Day,Low,Yes (Air Support),Aggressive Push,Non-Lethal Force Only,7
6,Squad,Military Police,Mixed,Specialized Gear,Decentralized,Basic,205,Special Forces,Standard Equipment,Medium,Incompetent,Reconnaissance,Arctic,Extreme Heat,Dawn,None,Yes (Air Support),Infiltration,Return Fire Only,3
316,Company,Airborne,Veteran,Advanced Weaponry,Decentralized,Well-Supplied,370,Drone Operators,Standard Equipment,High,Competent,Rescue/Evacuation,Arctic,Clear,Dusk,Low,Yes (Air Support),Infiltration,Protect Civilians at All Costs,7
6,Fire Team,Reconnaissance,Mixed,Standard Issue,Decentralized,Well-Supplied,390,Light Infantry,Standard Equipment,Low,Competent,Peacekeeping,Desert,Light Rain,Night,Low,No,Static Defense,Protect Civilians at All Costs,9
12,Squad,Mechanized,Elite,Advanced Weaponry,Decentralized,Well-Supplied,253,Drone Operators,Advanced Communication,Low,Weak,Reconnaissance,Arctic,Cloudy,Dusk,Low,Yes (Artillery),Aggressive Push,Minimize Collateral Damage,4
512,Fire Team,Reconnaissance,Elite,Riot Gear,Centralized (Flexible),Adequate,312,Guerrilla,Standard Equipment,Medium,Incompetent,Counter-insurgency,Forest,Sandstorm,Night,None,No,Guerrilla Tactics,Protect Civilians at All Costs,9
38,Fire Team,Reconnaissance,Rookie,Riot Gear,Centralized (Strict Hierarchy),Overstocked,199,Irregular Militia,Advanced Communication,Low,Charismatic Leader,Secure Objective,Forest,Fog,Dusk,Medium,Yes (Air Support),Patrolling,Protect Civilians at All Costs,7
4,Fire Team,Mechanized,Elite,Specialized Gear,Decentralized,Adequate,367,Drone Operators,Standard Equipment,Medium,Strong,Counter-insurgency,Mountain,Extreme Heat,Dawn,Low,Yes (Artillery),Tactical Retreat,Observe and Report,8
183,Squad,Airborne,Rookie,Specialized Gear,Decentralized (Limited Communication),Overstocked,177,Light Infantry,Improvised Explosive Devices (IEDs),High,Incompetent,Cyber Defense,Jungle,Fog,Dusk,High,Yes (Air & Artillery),Aggressive Push,Observe and Report,9
16,Fire Team,Armored,Rookie,Specialized Gear,Centralized (Flexible),Basic,249,Special Forces,Improvised Explosive Devices (IEDs),High,Competent,Peacekeeping,Mountain,Blizzard,Dawn,Medium,Yes (Artillery),Aggressive Push,Minimize Collateral Damage,1
439,Platoon,Armored,Rookie,Standard Issue,Centralized (Flexible),Well-Supplied,247,Cyber Warfare,Advanced Communication,Medium,Weak,Infrastructure Protection,Urban,Heavy Rain,Dusk,Medium,Yes (Artillery & Close Air Support),Patrolling,Non-Lethal Force Only,3
10,Company,Airborne,Elite,Basic (Limited Ammo),Centralized (Strict Hierarchy),Minimal,360,Armored,Standard Equipment,High,Incompetent,Rescue/Evacuation,Mountain,Sandstorm,Dusk,None,Yes (Artillery),Encirclement,Minimize Collateral Damage,7
219,Battalion,Mechanized,Rookie,Specialized Gear,Centralized (Strict Hierarchy),Basic,108,Irregular Militia,Improvised Explosive Devices (IEDs),Fanatical,Tactical Genius,Infrastructure Protection,Jungle,Extreme Cold,Day,Low,Yes (Air Support),Guerrilla Tactics,Return Fire Only,1
5,Platoon,Reconnaissance,Veteran,Basic (Limited Ammo),Decentralized (Limited Communication),Well-Supplied,244,Light Infantry,Sniper Teams,Medium,Tactical Genius,Rescue/Evacuation,Island,Fog,Night,None,Yes (Artillery & Close Air Support),Infiltration,Minimize Collateral Damage,2
11,Fire Team,Mechanized,Mixed,Specialized Gear,Centralized (Flexible),Adequate,167,Mechanized Infantry,Advanced Communication,Medium,Charismatic Leader,Secure Objective,Coastal,Cloudy,Dusk,None,Yes (Naval Gunfire),Guerrilla Tactics,Non-Lethal Force Only,4
10,Company,Mechanized,Elite,Specialized Gear,Centralized (Flexible),Overstocked,10,Irregular Militia,Standard Equipment,High,Strong,Secure Objective,Arctic,Blizzard,Day,High,Yes (Artillery & Close Air Support),Encirclement,Weapons Free,9
104,Platoon,Engineers,Mixed,Basic (Limited Ammo),Decentralized (Limited Communication),Minimal,275,Guerrilla,Advanced Communication,Medium,Tactical Genius,Secure Objective,Urban,Light Rain,Dawn,None,No,Guerrilla Tactics,Minimize Collateral Damage,3
231,Platoon,Engineers,Rookie,Riot Gear,Decentralized (Limited Communication),Basic,20,Drone Operators,Sniper Teams,Medium,Tactical Genius,Cyber Defense,Forest,Blizzard,Dawn,Low,Yes (Artillery & Close Air Support),Patrolling,Observe and Report,2
10,Fire Team,Special Forces,Mixed,Standard Issue,Centralized,Basic,57,Armored,Advanced Communication,High,Charismatic Leader,Secure Objective,Island,Fog,Dusk,Low,Yes (Artillery & Close Air Support),Infiltration,Minimize Collateral Damage,7
12,Fire Team,Engineers,Veteran,Specialized Gear,Centralized (Flexible),Basic,246,Drone Operators,Standard Equipment,Fanatical,Incompetent,Eliminate Enemy Force,Urban,Light Rain,Night,Low,Yes (Naval Gunfire),Tactical Retreat,Non-Lethal Force Only,1
6,Fire Team,Military Police,Mixed,Advanced Weaponry,Decentralized,Adequate,285,Armored,Sniper Teams,Medium,Charismatic Leader,Cyber Defense,Urban,Sandstorm,Night,None,Yes (Naval Gunfire),Aggressive Push,Protect Civilians at All Costs,3
937,Squad,Airborne,Elite,Standard Issue,Decentralized (Limited Communication),Basic,273,Special Forces,Improvised Explosive Devices (IEDs),Low,Strong,Counter-insurgency,Jungle,Fog,Dawn,Low,Yes (Naval Gunfire),Encirclement,Weapons Free,8
47,Fire Team,Infantry,Mixed,Standard Issue,Centralized (Flexible),Well-Supplied,408,Armored,Advanced Communication,Fanatical,Competent,Eliminate Enemy Force,Urban,Sandstorm,Dusk,Low,Yes (Air & Artillery),Guerrilla Tactics,Weapons Free,9
37,Fire Team,Military Police,Rookie,Riot Gear,Centralized (Flexible),Overstocked,360,Special Forces,Improvised Explosive Devices (IEDs),Medium,Competent,Reconnaissance,Island,Light Rain,Day,Medium,Yes (Air & Artillery),Static Defense,Protect Civilians at All Costs,3
817,Fire Team,Airborne,Rookie,Specialized Gear,Decentralized,Well-Supplied,55,Light Infantry,Improvised Explosive Devices (IEDs),Medium,Weak,Reconnaissance,Suburban,Heavy Rain,Night,Low,Yes (Artillery),Encirclement,Protect Civilians at All Costs,1
32,Battalion,Combat Medic Team,Rookie,Standard Issue,Decentralized (Limited Communication),Basic,465,Cyber Warfare,Improvised Explosive Devices (IEDs),Fanatical,Weak,Infrastructure Protection,Desert,Clear,Night,High,Yes (Artillery & Close Air Support),Aggressive Push,Non-Lethal Force Only,5
651,Fire Team,Infantry,Elite,Basic (Limited Ammo),Centralized (Flexible),Basic,404,Armored,Advanced Communication,High,Incompetent,Cyber Defense,Arctic,Clear,Night,High,Yes (Artillery),Patrolling,Weapons Free,8
8,Squad,Engineers,Rookie,Medical Supplies,Centralized (Flexible),Basic,138,Cyber Warfare,Standard Equipment,Low,Incompetent,Cyber Defense,Coastal,Fog,Dawn,Low,Yes (Air & Artillery),Guerrilla Tactics,Weapons Free,9
306,Fire Team,Armored,Rookie,Basic (Limited Ammo),Decentralized (Limited Communication),Minimal,458,Drone Operators,Improvised Explosive Devices (IEDs),Medium,Strong,Rescue/Evacuation,Arctic,Heavy Rain,Night,High,Yes (Air & Artillery),Static Defense,Minimize Collateral Damage,6
4,Battalion,Special Forces,Elite,Medical Supplies,Decentralized (Limited Communication),Adequate,213,Special Forces,Improvised Explosive Devices (IEDs),Medium,Competent,Peacekeeping,Island,Light Rain,Night,Medium,Yes (Artillery),Aggressive Push,Protect Civilians at All Costs,5
242,Platoon,Armored,Elite,Advanced Weaponry,Decentralized (Limited Communication),Basic,216,Drone Operators,Sniper Teams,Low,Tactical Genius,Eliminate Enemy Force,Urban,Extreme Heat,Day,Low,Yes (Naval Gunfire),Patrolling,Non-Lethal Force Only,9
585,Platoon,Reconnaissance,Rookie,Medical Supplies,Decentralized (Limited Communication),Minimal,275,Irregular Militia,Standard Equipment,High,Tactical Genius,Peacekeeping,Urban,Extreme Cold,Night,Medium,No,Infiltration,Return Fire Only,1
5,Platoon,Reconnaissance,Elite,Specialized Gear,Decentralized,Basic,493,Light Infantry,Sniper Teams,High,Incompetent,Rescue/Evacuation,Mountain,Light Rain,Dusk,Medium,No,Static Defense,Non-Lethal Force Only,7
178,Fire Team,Mechanized,Veteran,Specialized Gear,Decentralized (Limited Communication),Minimal,184,Mechanized Infantry,Sniper Teams,Fanatical,Competent,Peacekeeping,Forest,Heavy Rain,Dusk,Medium,Yes (Air Support),Static Defense,Observe and Report,9
417,Platoon,Combat Medic Team,Veteran,Advanced Weaponry,Centralized (Strict Hierarchy),Adequate,226,Irregular Militia,Standard Equipment,Low,Charismatic Leader,Counter-insurgency,Island,Clear,Night,Low,Yes (Artillery),Patrolling,Return Fire Only,4
229,Battalion,Airborne,Elite,Medical Supplies,Decentralized,Minimal,229,Armored,Sniper Teams,Fanatical,Incompetent,Secure Objective,Island,Snow,Dusk,Medium,Yes (Artillery & Close Air Support),Encirclement,Return Fire Only,7
6,Company,Armored,Veteran,Specialized Gear,Decentralized (Limited Communication),Basic,295,Cyber Warfare,Improvised Explosive Devices (IEDs),Medium,Competent,Eliminate Enemy Force,Urban,Clear,Dusk,Low,No,Encirclement,Observe and Report,2
6,Platoon,Special Forces,Elite,Advanced Weaponry,Centralized (Strict Hierarchy),Adequate,102,Mechanized Infantry,Standard Equipment,Fanatical,Incompetent,Reconnaissance,Desert,Thunderstorm,Dawn,None,Yes (Air Support),Static Defense,Minimize Collateral Damage,8
5,Platoon,Mechanized,Elite,Riot Gear,Centralized,Overstocked,189,Armored,Sniper Teams,Low,Weak,Infrastructure Protection,Urban,Clear,Dawn,Medium,Yes (Artillery),Encirclement,Minimize Collateral Damage,3
231,Platoon,Armored,Veteran,Riot Gear,Decentralized,Minimal,135,Irregular Militia,Sniper Teams,Medium,Tactical Genius,Cyber Defense,Arctic,Clear,Day,High,Yes (Air Support),Infiltration,Protect Civilians at All Costs,9
177,Fire Team,Armored,Mixed,Specialized Gear,Decentralized (Limited Communication),Adequate,308,Special Forces,Advanced Communication,Low,Tactical Genius,Infrastructure Protection,Jungle,Fog,Day,High,No,Aggressive Push,Observe and Report,3
11,Fire Team,Infantry,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Adequate,326,Irregular Militia,Sniper Teams,Low,Tactical Genius,Infrastructure Protection,Mountain,Extreme Cold,Dawn,Medium,Yes (Artillery & Close Air Support),Aggressive Push,Observe and Report,3
9,Platoon,Infantry,Mixed,Advanced Weaponry,Decentralized (Limited Communication),Basic,404,Special Forces,Advanced Communication,Medium,Strong,Rescue/Evacuation,Urban,Heavy Rain,Night,High,Yes (Air Support),Static Defense,Observe and Report,5
905,Battalion,Engineers,Elite,Specialized Gear,Centralized,Basic,424,Cyber Warfare,Sniper Teams,Fanatical,Weak,Secure Objective,Jungle,Snow,Night,None,No,Static Defense,Return Fire Only,6
39,Company,Combat Medic Team,Mixed,Advanced Weaponry,Decentralized,Well-Supplied,95,Light Infantry,Standard Equipment,Medium,Competent,Reconnaissance,Desert,Light Rain,Night,Medium,Yes (Artillery),Infiltration,Protect Civilians at All Costs,1
668,Company,Mechanized,Rookie,Specialized Gear,Decentralized (Limited Communication),Overstocked,154,Drone Operators,Sniper Teams,Low,Competent,Infrastructure Protection,Island,Snow,Dusk,None,Yes (Artillery),Infiltration,Minimize Collateral Damage,3
373,Fire Team,Infantry,Veteran,Advanced Weaponry,Centralized,Well-Supplied,408,Cyber Warfare,Standard Equipment,Low,Tactical Genius,Peacekeeping,Desert,Blizzard,Dawn,Low,Yes (Naval Gunfire),Encirclement,Weapons Free,3
11,Fire Team,Airborne,Elite,Advanced Weaponry,Centralized (Flexible),Overstocked,284,Drone Operators,Sniper Teams,High,Tactical Genius,Counter-insurgency,Urban,Blizzard,Night,None,Yes (Air Support),Guerrilla Tactics,Weapons Free,2
8,Company,Mechanized,Veteran,Advanced Weaponry,Decentralized (Limited Communication),Basic,272,Drone Operators,Sniper Teams,High,Strong,Eliminate Enemy Force,Jungle,Extreme Cold,Dawn,High,Yes (Air & Artillery),Aggressive Push,Weapons Free,6
21,Squad,Military Police,Elite,Medical Supplies,Decentralized (Limited Communication),Adequate,142,Armored,Improvised Explosive Devices (IEDs),Low,Incompetent,Cyber Defense,Island,Thunderstorm,Dawn,Low,Yes (Naval Gunfire),Aggressive Push,Weapons Free,6
116,Company,Engineers,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Minimal,433,Special Forces,Improvised Explosive Devices (IEDs),Fanatical,Strong,Rescue/Evacuation,Jungle,Heavy Rain,Dawn,None,Yes (Artillery),Infiltration,Protect Civilians at All Costs,5
29,Battalion,Combat Medic Team,Rookie,Standard Issue,Centralized (Flexible),Well-Supplied,485,Special Forces,Advanced Communication,Fanatical,Charismatic Leader,Eliminate Enemy Force,Jungle,Light Rain,Dusk,Low,Yes (Artillery & Close Air Support),Guerrilla Tactics,Minimize Collateral Damage,8
4,Squad,Reconnaissance,Mixed,Basic (Limited Ammo),Centralized (Strict Hierarchy),Well-Supplied,466,Mechanized Infantry,Standard Equipment,High,Competent,Secure Objective,Island,Thunderstorm,Day,Low,Yes (Air & Artillery),Aggressive Push,Minimize Collateral Damage,2
26,Battalion,Special Forces,Elite,Riot Gear,Centralized (Strict Hierarchy),Overstocked,46,Special Forces,Improvised Explosive Devices (IEDs),High,Competent,Secure Objective,Arctic,Thunderstorm,Dawn,High,Yes (Artillery & Close Air Support),Infiltration,Non-Lethal Force Only,2
425,Company,Airborne,Elite,Riot Gear,Centralized (Flexible),Basic,484,Special Forces,Standard Equipment,High,Charismatic Leader,Eliminate Enemy Force,Jungle,Sandstorm,Dawn,None,Yes (Air & Artillery),Guerrilla Tactics,Minimize Collateral Damage,2
8,Squad,Engineers,Mixed,Standard Issue,Centralized (Flexible),Basic,98,Irregular Militia,Standard Equipment,Fanatical,Competent,Eliminate Enemy Force,Island,Thunderstorm,Dawn,High,Yes (Air Support),Encirclement,Minimize Collateral Damage,1
